Date;Dernier
29/05/2013;1489.44
30/05/2013;1491.79
31/05/2013;1471.93
03/06/2013;1472.74
04/06/2013;1473.48
05/06/2013;1450.95
06/06/2013;1454.91
07/06/2013;1470.22
10/06/2013;1473.13
11/06/2013;1463.42
12/06/2013;1457.57
13/06/2013;1464.26
14/06/2013;1463.83
17/06/2013;1476.97
18/06/2013;1483.04
19/06/2013;1474.88
20/06/2013;1423.87
21/06/2013;1421.19
24/06/2013;1400.98
25/06/2013;1412.53
26/06/2013;1425.51
27/06/2013;1436.03
28/06/2013;1433.55
01/07/2013;1444.33
02/07/2013;1444.86
03/07/2013;1440.59
04/07/2013;1448.22
05/07/2013;1449.05
08/07/2013;1457.52
09/07/2013;1468.47
10/07/2013;1473.31
11/07/2013;1496.67
12/07/2013;1498.31
15/07/2013;1500.94
16/07/2013;1500.53
17/07/2013;1503.38
18/07/2013;1511.13
19/07/2013;1513.52
22/07/2013;1520.62
23/07/2013;1519.77
24/07/2013;1518.38
25/07/2013;1517.72
26/07/2013;1516.21
29/07/2013;1508.86
30/07/2013;1510.32
31/07/2013;1507.91
01/08/2013;1524.91
02/08/2013;1533.85
05/08/2013;1530.46
06/08/2013;1528.06
07/08/2013;1519.33
08/08/2013;1527.82
09/08/2013;1526.9
12/08/2013;1524.06
13/08/2013;1527.19
14/08/2013;1527.04
15/08/2013;1508.14
16/08/2013;1508.8
19/08/2013;1501.39
20/08/2013;1500.59
21/08/2013;1489.65
22/08/2013;1497.8
23/08/2013;1508.49
26/08/2013;1504.41
27/08/2013;1484.4
28/08/2013;1480.03
29/08/2013;1481.11
30/08/2013;1472.74
02/09/2013;1481.18
03/09/2013;1486.06
04/09/2013;1496.29
05/09/2013;1497.58
06/09/2013;1502.4
09/09/2013;1515.91
10/09/2013;1529.14
11/09/2013;1535.73
12/09/2013;1532.93
13/09/2013;1533.72
16/09/2013;1546.52
17/09/2013;1547.24
18/09/2013;1561.53
19/09/2013;1573.13
20/09/2013;1563.26
23/09/2013;1557.87
24/09/2013;1555.57
25/09/2013;1553.75
26/09/2013;1556.74
27/09/2013;1554.99
30/09/2013;1543.67
01/10/2013;1553.51
02/10/2013;1551.02
03/10/2013;1542.79
04/10/2013;1547.5
07/10/2013;1536.4
08/10/2013;1523.13
09/10/2013;1519.78
10/10/2013;1545.94
11/10/2013;1557.35
14/10/2013;1562.77
15/10/2013;1558.19
16/10/2013;1570.34
17/10/2013;1586.64
18/10/2013;1598.14
21/10/2013;1599.73
22/10/2013;1610.79
23/10/2013;1601.64
24/10/2013;1607.92
25/10/2013;1607.96
28/10/2013;1610.22
29/10/2013;1614.33
30/10/2013;1611.86
31/10/2013;1602.86
01/11/2013;1597.86
04/11/2013;1603.81
05/11/2013;1599.43
06/11/2013;1607.72
07/11/2013;1588.47
08/11/2013;1596.28
11/11/2013;1600.84
12/11/2013;1598.55
13/11/2013;1601.56
14/11/2013;1612.86
15/11/2013;1621.5
18/11/2013;1622.82
19/11/2013;1616.44
20/11/2013;1611.34
21/11/2013;1616.34
22/11/2013;1623.15
25/11/2013;1623.7
26/11/2013;1621.91
27/11/2013;1624.82
28/11/2013;1628.88
29/11/2013;1628.42
02/12/2013;1621.34
03/12/2013;1613.31
04/12/2013;1604.74
05/12/2013;1598.88
06/12/2013;1612.61
09/12/2013;1617.6
10/12/2013;1614.23
11/12/2013;1600.12
12/12/2013;1588.71
13/12/2013;1587.69
16/12/2013;1598.21
17/12/2013;1592.79
18/12/2013;1613.75
19/12/2013;1618.38
20/12/2013;1626.66
23/12/2013;1637.28
24/12/2013;1639.65
25/12/2013;1639.73
26/12/2013;1646.28
27/12/2013;1654.16
30/12/2013;1656.15
31/12/2013;1661.07
01/01/2014;1661.09
02/01/2014;1645.22
03/01/2014;1646.05
06/01/2014;1641.16
07/01/2014;1647.65
08/01/2014;1650.17
09/01/2014;1646.37
10/01/2014;1655.11
13/01/2014;1645.41
14/01/2014;1651.73
15/01/2014;1660
16/01/2014;1659.34
17/01/2014;1657.32
