Maturite;spot_2015;up_2015;down_2015;spot_2016;up_2016;down_2016;spot_2017;up_2017;down_2017;spot_2018;up_2018;down_2018
51;0,02886;0,03886;0,02164;0,02682;0,03682;0,02011;0,02806;0,03806;0,02104;0,02685;0,03685;0,02013
52;0,02911;0,03911;0,02187;0,02711;0,03711;0,02036;0,02832;0,03832;0,02127;0,0271;0,0371;0,02036
53;0,02934;0,03934;0,02208;0,02738;0,03738;0,0206;0,02857;0,03857;0,0215;0,02735;0,03735;0,02058
54;0,02957;0,03957;0,02229;0,02764;0,03764;0,02083;0,02881;0,03881;0,02171;0,02759;0,03759;0,02079
55;0,02979;0,03979;0,02249;0,0279;0,0379;0,02106;0,02905;0,03905;0,02193;0,02782;0,03782;0,021
56;0,03001;0,04001;0,0227;0,02815;0,03815;0,02129;0,02928;0,03928;0,02214;0,02804;0,03804;0,02121
57;0,03021;0,04021;0,02289;0,02839;0,03839;0,02151;0,02949;0,03949;0,02234;0,02825;0,03825;0,0214
58;0,03041;0,04041;0,02308;0,02862;0,03862;0,02172;0,02971;0,03971;0,02255;0,02846;0,03846;0,0216
59;0,03061;0,04061;0,02327;0,02884;0,03884;0,02192;0,02991;0,03991;0,02274;0,02866;0,03866;0,02179
60;0,03079;0,04079;0,02344;0,02906;0,03906;0,02213;0,03011;0,04011;0,02293;0,02885;0,03885;0,02197
61;0,03097;0,04097;0,02362;0,02927;0,03927;0,02232;0,0303;0,0403;0,02311;0,02904;0,03904;0,02215
62;0,03115;0,04115;0,0238;0,02947;0,03947;0,02252;0,03049;0,04049;0,02329;0,02923;0,03923;0,02233
63;0,03132;0,04132;0,02397;0,02966;0,03966;0,0227;0,03067;0,04067;0,02347;0,0294;0,0394;0,0225
64;0,03148;0,04148;0,02413;0,02986;0,03986;0,02289;0,03084;0,04084;0,02364;0,02957;0,03957;0,02267
65;0,03164;0,04164;0,0243;0,03004;0,04004;0,02307;0,03101;0,04101;0,02381;0,02974;0,03974;0,02284
66;0,0318;0,0418;0,02446;0,03022;0,04022;0,02324;0,03118;0,04118;0,02398;0,0299;0,0399;0,023
67;0,03195;0,04195;0,02462;0,03039;0,04039;0,02341;0,03134;0,04134;0,02415;0,03006;0,04006;0,02316
68;0,0321;0,0421;0,02477;0,03056;0,04056;0,02358;0,03149;0,04149;0,0243;0,03021;0,04021;0,02331
69;0,03224;0,04224;0,02492;0,03073;0,04073;0,02375;0,03164;0,04164;0,02446;0,03036;0,04036;0,02347
70;0,03238;0,04238;0,02507;0,03089;0,04089;0,02392;0,03179;0,04179;0,02461;0,0305;0,0405;0,02362
71;0,03251;0,04251;0,02521;0,03104;0,04104;0,02407;0,03193;0,04193;0,02476;0,03064;0,04064;0,02376
72;0,03264;0,04264;0,02536;0,03119;0,04119;0,02423;0,03207;0,04207;0,02491;0,03078;0,04078;0,02391
73;0,03277;0,04277;0,0255;0,03134;0,04134;0,02439;0,03221;0,04221;0,02506;0,03091;0,04091;0,02405
74;0,03289;0,04289;0,02564;0,03148;0,04148;0,02454;0,03234;0,04234;0,02521;0,03104;0,04104;0,02419
75;0,03301;0,04301;0,02577;0,03162;0,04162;0,02469;0,03247;0,04247;0,02535;0,03116;0,04116;0,02433
76;0,03313;0,04313;0,02591;0,03176;0,04176;0,02484;0,03259;0,04259;0,02549;0,03129;0,04129;0,02447
77;0,03325;0,04325;0,02604;0,03189;0,04189;0,02498;0,03271;0,04271;0,02562;0,0314;0,0414;0,0246
78;0,03336;0,04336;0,02617;0,03202;0,04202;0,02512;0,03283;0,04283;0,02576;0,03152;0,04152;0,02473
79;0,03347;0,04347;0,0263;0,03215;0,04215;0,02527;0,03295;0,04295;0,02589;0,03163;0,04163;0,02486
80;0,03357;0,04357;0,02642;0,03227;0,04227;0,0254;0,03306;0,04306;0,02602;0,03174;0,04174;0,02498
81;0,03368;0,04368;0,02655;0,03239;0,04239;0,02554;0,03317;0,04317;0,02615;0,03185;0,04185;0,02511
82;0,03378;0,04378;0,02668;0,0325;0,0425;0,02567;0,03328;0,04328;0,02628;0,03196;0,04196;0,02524
83;0,03388;0,04388;0,0268;0,03262;0,04262;0,0258;0,03338;0,04338;0,0264;0,03206;0,04206;0,02536
84;0,03397;0,04397;0,02691;0,03273;0,04273;0,02593;0,03348;0,04348;0,02653;0,03216;0,04216;0,02548
85;0,03407;0,04407;0,02704;0,03284;0,04284;0,02606;0,03358;0,04358;0,02665;0,03226;0,04226;0,0256
86;0,03416;0,04416;0,02715;0,03294;0,04294;0,02618;0,03368;0,04368;0,02677;0,03235;0,04235;0,02571
87;0,03425;0,04425;0,02727;0,03305;0,04305;0,02631;0,03378;0,04378;0,02689;0,03245;0,04245;0,02583
